def.name,def.file_path,def.first_line,a,b,c,abc
validate,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/rubygems/specification.rb,2453,10,146,36,150.70500987027606
parse,/Users/brian/.rvm/gems/ruby-2.2.3/gems/tzinfo-1.2.2/lib/tzinfo/zoneinfo_timezone_info.rb,95,44,134,28,143.79151574414954
pretty_print,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/pp.rb,421,6,121,21,122.95527642195759
store_asset,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/loader.rb,197,2,111,13,111.77656283854859
perform_arguments,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/tree/visitors/perform.rb,14,21,102,28,107.83784122468327
to_json,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/source/map.rb,89,38,92,15,100.66280345788111
parse_import_arg,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/engine.rb,1017,27,90,9,94.39279633531363
visit_rule,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/tree/visitors/to_css.rb,280,24,88,24,94.31860898041276
resolve_parent_refs,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/simple_sequence.rb,88,6,91,13,92.11948762341224
to_ruby,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/rubygems/specification.rb,2294,6,90,11,90.86803618434813
load_from_unloaded,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/loader.rb,101,22,87,9,90.18869108707588
merge_final_ops,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/sequence.rb,342,14,79,36,87.9374777896205
do_extend,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/simple_sequence.rb,157,12,83,13,84.86459803710851
visit_function,/Users/brian/.rvm/gems/ruby-2.2.3/gems/nokogiri-1.6.7/lib/nokogiri/css/xpath_visitor.rb,4,3,79,24,82.61961026293939
visit_directive,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/tree/visitors/to_css.rb,176,9,78,24,82.10359310042405
superselector?,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/pseudo.rb,149,2,75,23,78.4729252672538
call,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/server.rb,22,18,72,23,77.69813382572325
_next_token,/Users/brian/.rvm/gems/ruby-2.2.3/gems/nokogiri-1.6.7/lib/nokogiri/css/tokenizer.rb,55,31,65,28,77.26577508832743
distance_of_time_in_words,/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionview-4.2.5/lib/action_view/helpers/date_helper.rb,71,19,64,25,71.28814768248647
_superselector?,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/sequence.rb,486,4,66,17,68.27151675479314
parse_tag,/Users/brian/.rvm/gems/ruby-2.2.3/gems/slim-3.0.6/lib/slim/parser.rb,316,19,60,21,66.34756966159348
parse_line,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/engine.rb,610,7,64,16,66.34003316248794
validate_dependencies,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/rubygems/specification.rb,2645,12,63,13,65.43699259593154
clean,/Users/brian/.rvm/gems/ruby-2.2.3/gems/bundler-1.11.2/lib/bundler/runtime.rb,149,24,59,5,63.89053137985315
initialize,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script/value/color.rb,227,11,61,15,63.773035054010094
parse_property_or_rule,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/engine.rb,661,22,57,9,61.75759062657804
initialize,/Users/brian/.rvm/gems/ruby-2.2.3/gems/slim-3.0.6/lib/slim/parser.rb,46,22,57,7,61.497967446087195
construct_ruby_args,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script/tree/funcall.rb,184,10,58,16,60.991802727907626
env_for,/Users/brian/.rvm/gems/ruby-2.2.3/gems/rack-test-0.6.3/lib/rack/test.rb,192,5,59,12,60.41522986797286
normalize_params,/Users/brian/.rvm/gems/ruby-2.2.3/gems/rack-1.6.4/lib/rack/utils.rb,134,3,58,14,59.74110812497538
parse_line_indicators,/Users/brian/.rvm/gems/ruby-2.2.3/gems/slim-3.0.6/lib/slim/parser.rb,190,9,57,15,59.62382074305537
try_declaration,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/scss/parser.rb,738,19,54,16,59.43904440685432
record_execution_trace,/Users/brian/github/neo4jrb/neolytics/lib/neolytics/recorder.rb,80,30,46,11,56.00892785976178
initialize_regexp,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/uri/rfc2396_parser.rb,500,1,56,0,56.00892785976178
compile,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/manifest.rb,159,7,54,7,54.89990892524322
compute_processor_count,/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/utility/processor_counter.rb,75,2,53,13,54.607691765904185
subweave,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/sequence.rb,258,13,49,18,53.79591062525106
tabulate,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/engine.rb,436,15,49,13,52.86775955154521
initialize_pattern,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/uri/rfc2396_parser.rb,342,37,37,6,52.66877632905477
parse_comment,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/engine.rb,758,11,51,7,52.640288753007425
translate,/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionview-4.2.5/lib/action_view/helpers/translation_helper.rb,38,11,49,14,52.1344415909483
handle_line,/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/pry_instance.rb,260,11,47,16,50.85272854036448
add_associations,/Users/brian/.rvm/gems/ruby-2.2.3/gems/activemodel-4.2.5/lib/active_model/serializers/xml.rb,123,8,49,8,50.28916384272063
buffer_open,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/open-uri.rb,743,10,48,11,50.24937810560445
convert_input,/Users/brian/.rvm/gems/ruby-2.2.3/gems/erubis-2.7.0/lib/erubis/enhancer.rb,641,19,40,23,49.8998997994986
convert_input,/Users/brian/.rvm/gems/ruby-2.2.3/gems/erubis-2.7.0/lib/erubis/converter.rb,127,17,39,26,49.85980344927164
with_selector,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/pseudo.rb,55,3,48,13,49.8196748283246
asset_from_cache,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/loader.rb,75,1,49,8,49.658836071740545
periods_for_local,/Users/brian/.rvm/gems/ruby-2.2.3/gems/tzinfo-1.2.2/lib/tzinfo/transition_data_timezone_info.rb,123,6,48,11,49.60846701924985
visit_rule,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/tree/visitors/perform.rb,408,5,49,2,49.29503017546495