node.execution_index,node.event,node.defined_class,node.method_id,node.lineno
860,call,ActiveSupport::Inflector::Inflections,plural,105
861,line,ActiveSupport::Inflector::Inflections,plural,106
862,c_call,Kernel,is_a?,106
863,c_return,Kernel,is_a?,106
864,line,ActiveSupport::Inflector::Inflections,plural,107
865,c_call,Array,delete,107
866,c_return,Array,delete,107
867,line,ActiveSupport::Inflector::Inflections,plural,108
868,c_call,Array,prepend,108
869,c_return,Array,prepend,108
870,return,ActiveSupport::Inflector::Inflections,plural,109
860,call,ActiveSupport::Inflector::Inflections,plural,105
861,line,ActiveSupport::Inflector::Inflections,plural,106
862,c_call,Kernel,is_a?,106
863,c_return,Kernel,is_a?,106
864,line,ActiveSupport::Inflector::Inflections,plural,107
865,c_call,Array,delete,107
866,c_return,Array,delete,107
867,line,ActiveSupport::Inflector::Inflections,plural,108
868,c_call,Array,prepend,108
869,c_return,Array,prepend,108
870,return,ActiveSupport::Inflector::Inflections,plural,109